SMILES	SMARTS
OC1:C:C:C:C:C:1O	[#6]1(:[#6](-[#8]):[#6]:[#6]:[#6]:[#6]:1)-[#8]
O=C(O)C(Cl)(Cl)Cl	[#6](-[#8])(=[#8])-[#6](-[#17])(-[#17])-[#17]
O=C1O[I+]C2:C:C:C:C:C:21.[Cl-]	[#6]12:[#6](:[#6]:[#6]:[#6]:[#6]:1)-[#53+]-[#8]-[#6]-2=[#8].[#17-]
N#CC1:C(Cl):N:C(Cl):C(Cl):C:1Cl	[#6]1(:[#6](-[#17]):[#7]:[#6](-[#17]):[#6](:[#6]:1-[#17])-[#17])-[#6]#[#7]
CC=CC=CC=CC=CC(=O)O	[#6](=[#6]-[#6]=[#6]-[#6]=[#6]-[#6])-[#6]=[#6]-[#6](-[#8])=[#8]
O=C1:C:C:C2:C:C3:C:C:O:C:3:C:C:2:O:1	[#6]12:[#6]:[#6]3:[#6](:[#6]:[#6]:1:[#8]:[#6](=[#8]):[#6]:[#6]:2):[#8]:[#6]:[#6]:3
CCCCC[Mg]Br	[#6](-[#6]-[#6]-[#6])-[#6]-[Mg]-[#35]
O=P(O)(CO)CO	[#6](-[#8])-[#15](-[#8])(=[#8])-[#6]-[#8]
CC1CN[C+](N2CCCC2)S1	[#6+]1(-[#16]-[#6](-[#6])-[#6]-[#7]-1)-[#7]1-[#6]-[#6]-[#6]-[#6]-1
C1COCOCCO1	[#6]1-[#6]-[#8]-[#6]-[#8]-[#6]-[#6]-[#8]-1
COCCOCCOC1OCCO1	[#8]1-[#6](-[#8]-[#6]-[#6]-1)-[#8]-[#6]-[#6]-[#8]-[#6]-[#6]-[#8]-[#6]
C1CNCCNCCCNCCNC1	[#6]1-[#6]-[#7]-[#6]-[#6]-[#7]-[#6]-[#6]-[#6]-[#7]-[#6]-[#6]-[#7]-[#6]-1
COCCOCCCNCC1:C:C:C:O:1	[#6]1(:[#6]:[#6]:[#6]:[#8]:1)-[#6]-[#7]-[#6]-[#6]-[#6]-[#8]-[#6]-[#6]-[#8]-[#6]
C1CNCCCNCCCNC1	[#6]1-[#6]-[#7]-[#6]-[#6]-[#6]-[#7]-[#6]-[#6]-[#6]-[#7]-[#6]-1
CSCCCNCCCOCC1:C:C:C:O:1	[#6]1(:[#6]:[#6]:[#6]:[#8]:1)-[#6]-[#8]-[#6]-[#6]-[#6]-[#7]-[#6]-[#6]-[#6]-[#16]-[#6]
